mass,rt,
719.23041,7.6110862,
781.07465,7.6110862,
327.2168,7.6227007,
328.22052,7.6227007,
455.96408,7.6227007,
469.134,7.6227007,
536.9295,7.6227007,
706.09888,7.6227007,
718.21484,7.6227007,
758.18341,7.6227007,
178.94434,7.6605508,
338.98737,7.6605508,
458.23886,7.6605508,
199.16974,7.6732467,
283.1907,7.6732467,
284.19391,7.6732467,
325.14691,7.6732467,
490.13898,7.6732467,
176.94862,7.6854425,
349.20416,7.6981841,
422.22018,7.6981841,
358.18652,7.7099466,
418.20752,7.7099466,
420.18719,7.7099466,
297.20609,7.7347695,
548.15472,7.7347695,
424.23581,7.7475112,
351.18375,7.7597882,
380.97577,7.7597882,
444.97134,7.7597882,
791.09167,7.7597882,
463.19189,7.772532,
408.1073,7.7974383,
460.21832,7.7974383,
206.1543,7.8084299,
248.07928,7.8084299,
375.0322,7.8084299,
229.1801,7.8200903,
263.09161,7.8200903,
311.22192,7.8200903,
381.08841,7.8200903,
393.11343,7.8200903,
230.18355,7.8328029,
368.18884,7.8328029,
425.28934,7.8328029,
610.17773,7.8455342,
442.97086,7.8575925,
532.14886,7.8575925,
283.19058,7.8703007,
341.23193,7.8703007,
443.97391,7.8703007,
435.14307,7.8825195,
571.31024,7.8825195,
226.18048,7.8952654,
355.24792,7.8952654,
277.14359,7.9071967,
435.2406,7.9071967,
581.96533,7.9071967,
307.15732,7.9195945,
321.97513,7.9195945,
343.97009,7.9195945,
477.06268,7.9195945,
517.03015,7.9195945,
624.95209,7.9195945,
625.95465,7.9195945,
688.94879,7.9195945,
710.9317,7.9195945,
747.00183,7.9195945,
748.00543,7.9195945,
285.20621,7.9318945,
344.47205,7.9318945,
580.96216,7.9318945,
791.33221,7.9318945,
241.57309,7.9446279,
251.05896,7.9446279,
522.83514,7.9446279,
792.33539,7.9446279,
241.18024,7.9566008,
242.1835,7.9566008,
276.10818,7.9566008,
413.12299,7.9566008,
483.15033,7.9566008,
484.15353,7.9566008,
587.29999,7.9566008,
673.22131,7.9566008,
172.14182,7.9692612,
241.0715,7.9692612,
253.14125,7.9692612,
517.258,7.9692612,
171.13844,7.9814757,
173.11751,7.9814757,
216.08742,7.9814757,
243.19566,7.9814757,
331.19409,7.9814757,
345.22623,7.9814757,
348.16562,7.9814757,
416.22827,7.9814757,
487.13617,7.9814757,
255.19582,7.9942654,
357.22696,7.9942654,
392.11838,7.9942654,
406.13385,8.0056821,
360.22849,8.0179424,
383.08527,8.0179424,
384.08652,8.0179424,
405.1326,8.0179424,
427.11423,8.0179424,
428.11591,8.0179424,
690.35248,8.0302487,
348.1105,8.0302487,
407.12839,8.0302487,
457.09479,8.0302487,
478.06357,8.0302487,
548.1546,8.0302487,
609.17529,8.0302487,
201.98253,8.0429549,
345.11163,8.0429549,
346.11258,8.0429549,
347.10767,8.0429549,
381.08838,8.0429549,
382.08807,8.0429549,
391.11722,8.0429549,
393.1134,8.0429549,
410.10309,8.0429549,
420.24905,8.0429549,
423.08902,8.0429549,
425.08456,8.0429549,
426.08487,8.0429549,
435.14291,8.0429549,
437.10449,8.0429549,
479.06085,8.0429549,
549.15613,8.0429549,
550.15192,8.0429549,
673.22119,8.0429549,
199.16968,8.0549112,
327.16272,8.0549112,
419.24582,8.0549112,
608.17627,8.0549112,
472.25385,8.0676362,
270.20679,8.0798549,
297.11554,8.0798549,
329.23245,8.0798549,
347.2247,8.0925299,
623.26288,8.0925299,
624.26593,8.0925299,
778.43646,8.0925299,
200.01132,8.1036716,
202.0083,8.1036716,
277.14365,8.1036716,
278.14685,8.1036716,
299.20377,8.1036716,
348.22766,8.1036716,
359.22498,8.1036716,
365.19913,8.1036716,
417.22891,8.1036716,
558.29077,8.1036716,
637.37555,8.1036716,
639.39319,8.1036716,
774.08832,8.1036716,
288.00696,8.1159258,
372.20187,8.1159258,
418.20746,8.1159258,
504.15308,8.1159258,
508.96967,8.1159258,
526.94495,8.1159258,
631.32593,8.1159258,
632.32721,8.1159258,
773.0871,8.1159258,
775.08582,8.1159258,
776.08618,8.1159258,
787.1991,8.1159258,
803.22974,8.1159258,
926.24646,8.1159258,
928.26276,8.1159258,
929.2641,8.1159258,
930.26794,8.1159258,
238.18073,8.1282112,
251.05872,8.1282112,
273.1886,8.1282112,
423.27921,8.1282112,
426.96609,8.1282112,
427.96951,8.1282112,
428.96121,8.1282112,
432.22281,8.1282112,
759.24072,8.1282112,
789.21667,8.1282112,
790.22137,8.1282112,
791.2113,8.1282112,
800.1767,8.1282112,
801.2149,8.1282112,
171.13843,8.140582,
214.18861,8.140582,
285.20651,8.140582,
286.20966,8.140582,
287.21262,8.140582,
307.18811,8.140582,
308.19171,8.140582,
375.2197,8.140582,
395.20117,8.140582,
433.26129,8.140582,
536.26202,8.140582,
503.26495,8.1526466,
759.08514,8.1526466,
760.08685,8.1526466,
761.08447,8.1526466,
346.97366,8.1649862,
369.97876,8.1649862,
412.96524,8.1649862,
414.97101,8.1649862,
422.26474,8.1649862,
424.23599,8.1649862,
494.96881,8.1649862,
512.94415,8.1649862,
